Tracker Experiment Results 03-Nov-2014
RIGHT_FOOT
	 Translation 			 Local Quaternion 				 Local EulerXYZ 			
 t	 x	 y	 z	 x	 y	 z	 w	 x	 y	 z	
2.88	-115.4708	-147.7544	183.0898	0.7633 	 0.3548 	 0.3171 	 -0.4370 	-2.0080 	 0.1748 	 -0.9816 	 
2.89	-108.9961	-148.7968	189.8502	0.7711 	 0.3510 	 0.3056 	 -0.4346 	-2.0282 	 0.1671 	 -0.9584 	 
2.9	-102.9791	-148.7636	195.6897	0.7717 	 0.3407 	 0.2979 	 -0.4468 	-2.0136 	 0.1560 	 -0.9303 	 
2.91	-96.9262	-148.8046	201.4622	0.7740 	 0.3309 	 0.2873 	 -0.4570 	-2.0060 	 0.1429 	 -0.8992 	 
2.92	-90.0584	-149.5603	207.4486	0.7772 	 0.3286 	 0.2789 	 -0.4584 	-2.0130 	 0.1326 	 -0.8840 	 
2.93	-83.9387	-149.9134	212.8206	0.7806 	 0.3273 	 0.2680 	 -0.4602 	-2.0217 	 0.1173 	 -0.8677 	 
2.94	-77.6382	-150.5986	217.2329	0.7819 	 0.3203 	 0.2647 	 -0.4647 	-2.0164 	 0.1166 	 -0.8511 	 
2.95	-71.517	-151.025	220.1556	0.7805 	 0.3237 	 0.2641 	 -0.4651 	-2.0160 	 0.1114 	 -0.8566 	 
2.96	-65.3039	-151.7836	222.2468	0.7784 	 0.3309 	 0.2683 	 -0.4611 	-2.0193 	 0.1128 	 -0.8749 	 
2.97	-58.3611	-152.3441	223.0574	0.7729 	 0.3398 	 0.2744 	 -0.4603 	-2.0134 	 0.1116 	 -0.8992 	 
2.98	-50.1752	-153.1011	222.913	0.7667 	 0.3501 	 0.2810 	 -0.4589 	-2.0080 	 0.1098 	 -0.9266 	 
2.99	-41.7609	-153.8943	221.9194	0.7618 	 0.3570 	 0.2901 	 -0.4562 	-2.0023 	 0.1166 	 -0.9512 	 
3	-32.6645	-154.656	219.8276	0.7564 	 0.3669 	 0.2960 	 -0.4534 	-2.0002 	 0.1152 	 -0.9774 	 
3.01	-22.9848	-155.491	216.9525	0.7518 	 0.3746 	 0.3060 	 -0.4481 	-1.9981 	 0.1247 	 -1.0047 	 
3.03	-1.9269	-156.8405	209.3772	0.7400 	 0.3920 	 0.3257 	 -0.4389 	-1.9894 	 0.1384 	 -1.0642 	 
3.04	9.1324	-157.6516	205.0044	0.7361 	 0.4012 	 0.3320 	 -0.4325 	-1.9929 	 0.1422 	 -1.0902 	 
3.05	20.8742	-158.9582	200.1453	0.7305 	 0.4020 	 0.3493 	 -0.4275 	-1.9779 	 0.1674 	 -1.1164 	 
3.06	33.6967	-159.5966	194.4599	0.7309 	 0.4172 	 0.3427 	 -0.4173 	-2.0061 	 0.1534 	 -1.1353 	 
3.08	61.7936	-160.4041	181.7606	0.7152 	 0.4468 	 0.3477 	 -0.4098 	-2.0108 	 0.1315 	 -1.2003 	 
3.09	74.8604	-162.4231	175.1679	0.7045 	 0.4416 	 0.3758 	 -0.4092 	-1.9693 	 0.1689 	 -1.2321 	 
3.1	88.9511	-164.2961	168.5731	0.7025 	 0.4499 	 0.3829 	 -0.3968 	-1.9807 	 0.1819 	 -1.2588 	 
